"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 16 01:54:43 GMT 2025","Wed Apr 16 01:54:48 GMT 2025","4108","firefox","registration.test.ts","","","","Register With No Credentials",""
"passed","Wed Apr 16 01:52:46 GMT 2025","Wed Apr 16 01:52:54 GMT 2025","8652","chromium","FollowingPage.test.ts","","","","user can navigate to followed user profile",""
"passed","Wed Apr 16 01:53:36 GMT 2025","Wed Apr 16 01:53:39 GMT 2025","3190","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"passed","Wed Apr 16 01:57:16 GMT 2025","Wed Apr 16 01:57:21 GMT 2025","5478","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"passed","Wed Apr 16 01:53:52 GMT 2025","Wed Apr 16 01:53:55 GMT 2025","2780","chromium","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"passed","Wed Apr 16 01:55:08 GMT 2025","Wed Apr 16 01:55:14 GMT 2025","5327","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Wed Apr 16 01:57:01 GMT 2025","Wed Apr 16 01:57:06 GMT 2025","5721","webkit","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Wed Apr 16 01:57:21 GMT 2025","Wed Apr 16 01:57:29 GMT 2025","7628","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken",""
"passed","Wed Apr 16 01:53:55 GMT 2025","Wed Apr 16 01:54:06 GMT 2025","10554","firefox","DiscoverPage.test.ts","","","","user can open a post from Discover page",""
"passed","Wed Apr 16 01:56:16 GMT 2025","Wed Apr 16 01:56:21 GMT 2025","5340","webkit","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Wed Apr 16 01:57:46 GMT 2025","Wed Apr 16 01:57:52 GMT 2025","6544","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"passed","Wed Apr 16 01:53:01 GMT 2025","Wed Apr 16 01:53:05 GMT 2025","3760","chromium","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Wed Apr 16 01:54:54 GMT 2025","Wed Apr 16 01:54:58 GMT 2025","4030","firefox","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Wed Apr 16 01:52:30 GMT 2025","Wed Apr 16 01:52:39 GMT 2025","8953","chromium","DiscoverPage.test.ts","","","","user can view trending post from Discover page",""
"passed","Wed Apr 16 01:55:51 GMT 2025","Wed Apr 16 01:55:58 GMT 2025","6361","webkit","DiscoverPage.test.ts","","","","user can perform infinite scrolling from Discover page",""
"passed","Wed Apr 16 01:54:06 GMT 2025","Wed Apr 16 01:54:11 GMT 2025","5276","firefox","DiscoverPage.test.ts","","","","user can perform infinite scrolling from Discover page",""
"passed","Wed Apr 16 01:53:27 GMT 2025","Wed Apr 16 01:53:30 GMT 2025","2744","chromium","registration.test.ts","","","","Register With Only Email (invalid)",""
"passed","Wed Apr 16 01:53:46 GMT 2025","Wed Apr 16 01:53:49 GMT 2025","3741","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"passed","Wed Apr 16 01:54:39 GMT 2025","Wed Apr 16 01:54:43 GMT 2025","4866","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"passed","Wed Apr 16 01:55:11 GMT 2025","Wed Apr 16 01:55:15 GMT 2025","3700","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"passed","Wed Apr 16 01:53:46 GMT 2025","Wed Apr 16 01:53:49 GMT 2025","3537","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"failed","Wed Apr 16 01:57:20 GMT 2025","Wed Apr 16 01:57:27 GMT 2025","7072","webkit","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Wed Apr 16 01:57:52 GMT 2025","Wed Apr 16 01:58:00 GMT 2025","7694","webkit","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"passed","Wed Apr 16 01:54:19 GMT 2025","Wed Apr 16 01:54:23 GMT 2025","4010","firefox","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Wed Apr 16 01:57:55 GMT 2025","Wed Apr 16 01:58:05 GMT 2025","10354","webkit","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"passed","Wed Apr 16 01:54:58 GMT 2025","Wed Apr 16 01:55:01 GMT 2025","3557","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"passed","Wed Apr 16 01:53:05 GMT 2025","Wed Apr 16 01:53:12 GMT 2025","7707","chromium","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"passed","Wed Apr 16 01:55:58 GMT 2025","Wed Apr 16 01:56:05 GMT 2025","6547","webkit","FollowingPage.test.ts","","","","user can load the Following list",""
"passed","Wed Apr 16 01:54:00 GMT 2025","Wed Apr 16 01:54:11 GMT 2025","10490","firefox","DiscoverPage.test.ts","","","","user can view trending post from Discover page",""
"passed","Wed Apr 16 01:54:27 GMT 2025","Wed Apr 16 01:54:31 GMT 2025","4704","firefox","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Wed Apr 16 01:52:56 GMT 2025","Wed Apr 16 01:53:01 GMT 2025","5381","chromium","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Wed Apr 16 01:57:34 GMT 2025","Wed Apr 16 01:57:40 GMT 2025","5536","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"passed","Wed Apr 16 01:54:50 GMT 2025","Wed Apr 16 01:54:54 GMT 2025","3456","firefox","registration.test.ts","","","","Register With Only Email (invalid)",""
"passed","Wed Apr 16 01:52:30 GMT 2025","Wed Apr 16 01:52:41 GMT 2025","10834","chromium","DiscoverPage.test.ts","","","","user can open a post from Discover page",""
"passed","Wed Apr 16 01:53:11 GMT 2025","Wed Apr 16 01:53:17 GMT 2025","5926","chromium","PostPageCreation.test.ts","","","","Create Post using one character",""
"passed","Wed Apr 16 01:57:08 GMT 2025","Wed Apr 16 01:57:12 GMT 2025","3796","webkit","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Wed Apr 16 01:54:27 GMT 2025","Wed Apr 16 01:54:32 GMT 2025","5377","firefox","login-validation.test.ts","","","","Successful Login",""
"passed","Wed Apr 16 01:53:43 GMT 2025","Wed Apr 16 01:53:46 GMT 2025","2770","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"passed","Wed Apr 16 01:56:35 GMT 2025","Wed Apr 16 01:56:45 GMT 2025","10336","webkit","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Wed Apr 16 01:53:49 GMT 2025","Wed Apr 16 01:53:52 GMT 2025","2486","chromium","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"passed","Wed Apr 16 01:54:51 GMT 2025","Wed Apr 16 01:54:55 GMT 2025","4109","firefox","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Wed Apr 16 01:55:27 GMT 2025","Wed Apr 16 01:55:48 GMT 2025","20922","webkit","DiscoverPage.test.ts","","","","user can open a post from Discover page",""
"passed","Wed Apr 16 01:56:26 GMT 2025","Wed Apr 16 01:56:35 GMT 2025","9356","webkit","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
